Galaxy_Name,Galaxy_RA,Galaxy_DEC,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
NGC1600                ,67.9160415,-5.0860833,6,6,6,3827.2859999999996,3869.12
PGC165114              ,185.7552,10.5896177,6,6,6,10625.079,10799.659999999998
NGC2560                ,124.96626,20.9850001,6,6,6,2866.86,2895.979
UGC12812               ,357.8277555,20.5778346,6,6,6,2801.301,2797.58
NGC4922                ,195.3526185,29.3099067,6,6,6,18775.164,18786.449999999997
NGC5383                ,209.2701795,41.8462926,6,6,6,5741.85,5774.041
NGC0035                ,2.79375,-12.0207222,6,5,5,16597.902,16520.479
IC1459                 ,344.294181,-36.4622102,6,6,6,6360.5019999999995,6386.43
ESO154-023             ,44.2090665,-54.5706416,5,5,5,14670.361,14830.556
NGC5077                ,199.881825,-12.6564762,5,5,5,3602.258,3643.4509999999996
NGC5076                ,199.8766455,-12.740875,5,5,5,3602.258,3643.4509999999996
NGC6221                ,253.192002,-59.218049,5,5,5,9051.075,9155.027
NGC6215                ,252.7792935,-58.9931413,5,5,5,9051.075,9155.027
PGC057421              ,242.848314,52.4548401,5,5,5,2835.3720000000003,2874.764
NGC4178                ,183.1928955,10.8657101,5,5,5,11051.398,11044.185
NGC2681                ,133.38633,51.313765,5,4,5,1387.2239999999997,1515.9119999999998
NGC0988                ,38.865498,-9.3559501,5,5,5,12388.125,12751.328000000001
ESO269-012             ,194.1688335,-46.9260278,5,5,5,16177.615,16347.391000000001
NGC6944                ,309.5994585,6.9965556,5,5,5,19410.872,19714.307
ESO424-012             ,85.8871665,-27.6514722,5,5,5,20725.097,20777.743
NGC2782                ,138.521169,40.1137263,5,5,5,13457.601999999999,13543.946
ESO442-026             ,193.05523349999999,-29.840649,5,5,5,5094.051000000001,5297.549999999999
NGC4936                ,196.070742,-30.5262879,5,5,5,3075.094,3113.258
NGC7377                ,341.9478795,-22.3120915,5,5,5,3110.3689999999997,3118.811
NGC4298                ,185.3867325,14.6060549,5,5,5,32092.182,31902.260000000002
NGC2369                ,109.1575275,-62.3437661,5,5,5,2741.58,2773.088
NGC5127                ,200.93727750000002,31.5655548,5,5,5,2617.163,2639.5779999999995
NGC2427                ,114.117075,-47.6354241,5,5,5,14057.826,14220.936000000002
NGC2545                ,123.55896150000001,21.3554613,5,4,5,2968.804,3104.097
UGC09291               ,217.153728,38.9991636,5,5,4,5490.985,5536.298
NGC3044                ,148.420374,1.5795904,5,5,5,8539.345000000001,8872.454000000002
UGC08850               ,209.0120895,18.3721449,5,5,5,15918.252,16032.375000000002
ESO269-014             ,194.2790415,-46.8715972,5,5,5,16177.615,16347.391000000001
PGC044234              ,194.2522425,-17.3203749,5,5,5,585.374,594.225
NGC5198                ,202.547541,46.6708056,5,5,5,4285.3189999999995,4332.71
PGC032012              ,160.9757505,70.3734444,5,5,5,39784.865000000005,39707.784999999996
SDSSJ091048.27+600323.4,137.7012195,60.0565207,5,5,5,3010.84,3033.5209999999997
PGC094335              ,19.987695,-41.2417397,5,5,5,3068.012,3103.807
PGC020246              ,107.264667,48.5733611,5,5,5,1471.637,1491.031
NGC4698                ,192.0956055,8.4874421,5,5,5,19245.341,19313.02
UGC02238               ,41.572833,13.0956389,5,5,5,4554.323,4531.1050000000005
NGC1129                ,43.614324,41.57901,5,4,4,4193.259,4229.801
NGC3683                ,171.882672,56.8770213,5,5,5,4613.392,4641.065
PGC2034704             ,227.542431,33.5670479,4,4,4,3991.1899999999996,4028.5130000000004
PGC1060849             ,120.559362,-4.2487358,4,4,2,5880.3240000000005,4508.3189999999995
NGC2724                ,135.2574555,35.7623597,4,4,4,2757.578,2783.8469999999998
NGC3078                ,149.602197,-26.9260706,4,3,3,2599.709,2624.915
ESO323-025             ,193.160511,-39.0297985,4,3,4,1479.3380000000002,2053.442
UGC02688               ,50.332942499999994,41.9319302,4,4,4,2019.8619999999999,2070.675
PGC009313              ,36.7348755,20.5329444,4,4,4,3067.9,3090.541
PGC047508              ,202.7451465,11.2218512,4,4,4,2115.927,2146.349
NGC3506                ,165.803991,11.0767452,4,4,4,3236.5730000000003,3111.9339999999997
NGC1199                ,45.910458,-15.6138572,4,4,4,14268.876,13855.306
PGC1843987             ,167.599878,28.7210187,4,4,4,7464.52,8039.089999999999
UGC03805               ,110.0034795,17.9456972,4,4,4,350.218,355.999
PGC2156773             ,122.2449195,39.8580651,4,3,4,1431.256,1490.8300000000002
NGC3395                ,162.4587915,32.9828333,4,4,4,2437.6340000000005,2343.0690000000004
NGC0924                ,36.6951255,20.4974167,4,4,4,3067.9,3090.541
UGC03974               ,115.48083299999999,16.8025,4,3,4,12894.58,13245.429999999998
PGC083808              ,198.484206,-16.273423,4,4,4,2661.923,2684.669
NGC3389                ,162.1163595,12.5331631,4,4,4,7251.0830000000005,7615.13
NGC3384                ,162.070416,12.6293385,4,4,4,7251.0830000000005,7615.13
PGC055976              ,236.4412605,2.4098357,4,4,4,3340.855,3365.112
NGC7770                ,357.844167,20.0968056,4,4,4,1091.597,1097.7259999999999
NGC7771                ,357.8538765,20.1119531,4,4,4,1091.597,1097.7259999999999
PGC1156047             ,243.0386625,0.0591659,4,4,4,4328.491,4429.03
UGC12915               ,0.4246905,23.4958156,4,4,4,2957.902,2985.183
ESO142-019             ,293.328918,-58.1142771,4,4,4,2573.174,2596.8430000000003
NGC4579                ,189.431379,11.8181349,4,4,4,24716.783,21247.571
NGC6251                ,248.132292,82.5379167,4,4,4,30026.434999999998,29151.264
NGC5990                ,236.5681755,2.4155398,4,4,4,3340.855,3365.112
NGC1779                ,76.3251045,-9.1472361,4,4,4,8972.078000000001,10473.208999999999
NGC6926                ,308.2755045,-2.0274612,4,3,4,14102.518999999998,13913.963
ESO069-009             ,252.064416,-69.1396389,4,4,4,6889.650999999999,6954.473
IC0302                 ,48.213666,4.7069722,4,4,4,2306.0339999999997,2326.23
NGC4278                ,185.028264,29.28064,4,4,4,5368.397000000001,5386.525000000001
NGC4639                ,190.718337,13.2572415,4,4,4,13205.777,13509.641
NGC2633                ,132.0193335,74.0987778,3,3,3,1684.805,1707.637
PGC1054690             ,194.29062449999998,-4.6981944,3,3,3,2239.177,2314.214
NGC4981                ,197.20304099999998,-6.7774698,3,3,3,21223.103,21536.856
UGC03326               ,84.904614,77.312496,3,3,3,2472.9849999999997,2520.259
IC3639                 ,190.2203085,-36.7559105,3,3,3,2891.5950000000003,2907.898
PGC011590              ,46.235472,-27.5050411,3,3,3,3145.342,3159.401
NGC1700                ,74.234736,-4.8658996,3,3,3,5653.949999999999,5781.624
UGC01697               ,33.0850755,-2.1415432,3,2,3,10997.393,67972.79699999999
PGC1100622             ,172.86975,-2.1407122,3,3,3,225.502,228.136
PGC018855              ,95.232159,-8.495589,3,3,3,12111.286,12300.115999999998
PGC019481              ,100.774764,-74.2361454,3,3,3,2024.673,2140.6440000000002
PGC023326              ,124.771128,21.7914542,3,3,3,1850.0990000000002,1867.69
NGC1614                ,68.500104,-8.5790833,3,3,3,17212.756,17436.864
NGC3221                ,155.5831965,21.5693726,3,3,3,1527.497,1552.0430000000001
NGC1140                ,43.639803,-10.0282842,3,3,3,6965.6669999999995,7036.3099999999995
PGC032591              ,162.955881,16.0004586,3,3,3,2021.672,2045.7649999999999
ESO306-003             ,82.280151,-39.4221404,3,3,3,7229.674,7346.409
UGC08441               ,201.37115849999998,57.821985,3,3,3,10908.03,10963.13
PGC035570              ,173.0162955,57.4392227,3,3,3,3945.878,4014.168
IC0278                 ,45.376833,37.7660556,3,3,3,1738.4569999999999,2652.606
NGC6407                ,266.24025,-60.7397778,3,3,3,6114.08,6134.143
IC0563                 ,146.584734,3.0456208,3,3,3,1027.21,1042.043
NGC1189                ,45.852207,-15.6234159,3,3,3,12099.506,11642.768
NGC5483                ,212.604288,-43.3246227,3,3,3,4300.7880000000005,5592.736
PGC054660              ,229.71375,6.4359444,3,3,3,4685.703,4798.404
IC0564                 ,146.587887,3.0713372,3,3,3,1027.21,1042.043
PGC3082851             ,300.6565005,-55.9013472,3,0,3,0.0,4706.204
IC5157                 ,330.86247,-34.9417636,3,3,3,2768.6220000000003,2790.603
NGC5330                ,208.2466605,-28.4706735,3,3,3,1379.1920000000002,1390.453
NGC5301                ,206.60276549999998,46.1071577,3,3,3,6379.322999999999,6318.656
PGC047293              ,202.20542999999998,-31.5758415,3,3,3,345.64,350.994
PGC035845              ,173.9331675,49.0376433,3,3,3,1027.276,1048.943
NGC7386                ,342.508875,11.69875,3,3,3,1270.9699999999998,1316.7369999999999
UGC05228               ,146.51505450000002,1.6683624,3,3,3,4990.742,4998.9169999999995
PGC002051              ,8.5649415,-21.4178028,3,3,3,8820.741,8892.52
NGC1738                ,75.444099,-18.1575315,3,3,3,2345.3779999999997,2369.373
NGC3665                ,171.181899,38.7627867,3,3,3,1798.6860000000001,1820.588
NGC3788                ,174.935796,31.9312405,3,3,3,7850.914,7279.998
NGC3495                ,165.3174825,3.628104,3,3,3,8706.616999999998,8818.78
NGC7385                ,342.476721,11.6076647,3,3,3,1270.9699999999998,1316.7369999999999
NGC2179                ,92.009208,-21.7466806,2,2,2,3121.754,3125.859
PGC2790838             ,240.5533275,15.9075657,2,2,2,3829.13,3857.4080000000004
3C386                  ,279.6092475,17.1968066,2,2,2,8886.631,9141.793
NGC0550                ,21.677122500000003,2.0223285,2,2,2,894.6489999999999,907.628
NGC1792                ,76.31013300000001,-37.9806372,2,2,2,5883.051,6109.546
NGC0071                ,4.598292,30.0631944,2,2,2,6502.716,6300.761
PGC044991              ,195.615291,-15.779,2,2,2,1207.7730000000001,1221.022
UGC05454               ,151.79575200000002,12.6513756,2,2,2,3874.374,3848.9750000000004
NGC5678                ,218.023359,57.9214316,2,2,2,1061.091,1076.473
UGC09732               ,227.04076350000003,1.2493587,2,2,2,848.177,859.538
PGC044990              ,195.5849505,-15.7666119,2,2,2,1207.7730000000001,1221.022
PGC044532              ,194.757687,34.860685,2,2,2,1652.004,1674.9199999999998
ESO350-040             ,9.4201395,-33.716339,2,2,2,5388.036,5448.729
NGC0072                ,4.618209,30.0406944,2,2,2,6502.716,6300.761
IC0239                 ,39.115959,38.9690278,2,2,2,1663.1239999999998,1652.246
NGC7673                ,351.9212475,23.5889331,2,2,2,1088.816,1100.6930000000002
NGC7424                ,344.3264895,-41.0706469,2,2,2,2796.5480000000002,2791.951
PGC002249              ,9.4311105,-33.7020623,2,2,2,5388.036,5448.729
NGC7196                ,331.478439,-50.1190894,2,2,2,1004.933,1015.444
UGC10143               ,240.5709015,15.9745922,2,2,2,3829.13,3857.4080000000004
IC1860                 ,42.391191,-31.1893845,2,2,2,2362.402,2389.2799999999997
IC1622                 ,16.9028025,-17.5386725,2,2,2,3625.2960000000003,3626.484
NGC4956                ,196.253991,35.1780854,2,2,2,1745.828,1759.492
UGC12709               ,354.350103,0.3914687,2,2,2,4812.108,4926.259
NGC3642                ,170.5746555,59.0744505,2,2,2,6022.32,6179.036
NGC0720                ,28.2521685,-13.7385851,2,2,2,2671.809,2735.1800000000003
PGC1035926             ,243.979986,-6.1741154,2,2,2,1878.663,1770.818
NGC4676A               ,191.5420575,30.7319684,2,2,2,1247.768,1271.226
PGC2171536             ,51.233301,40.8272352,2,2,2,12634.746,12494.609
UGC10094               ,238.938816,24.4939095,2,2,2,6754.541,6766.039000000001
PGC094305              ,21.2338845,8.6672881,2,2,2,879.644,882.554
UGC10050               ,237.437073,18.5269043,2,2,2,1700.316,1714.984
IC1020                 ,217.20613649999999,26.03222,2,2,2,1890.58,1905.6129999999998
IC1018                 ,217.05330899999998,25.8305183,2,2,2,1890.58,1905.6129999999998
PGC090367              ,309.3237915,25.5271389,2,1,2,74.671,155.915
UGC04344               ,125.0690025,20.8750862,2,2,2,1107.904,1118.965
NGC4013                ,179.630676,43.9468119,2,2,2,8827.616,8935.887
NGC7314                ,338.9417115,-26.0505071,2,2,2,3547.59,3549.5209999999997
ESO120-016             ,87.8968245,-59.0456566,2,2,2,10733.575,10743.014
NGC0410                ,17.7456135,33.1522335,2,2,2,1976.7020000000002,1978.086
NGC0536                ,21.590709,34.7029722,2,2,2,844.107,859.106
PGC017271              ,81.410991,-31.5523739,2,2,2,1271.4450000000002,1273.694
UGC05823               ,160.4725545,0.7932781,2,2,2,9522.7,9530.947
ESO411-034             ,14.4455145,-27.5016522,2,2,2,1935.0639999999999,2005.2399999999998
NGC7796                ,359.7491625,-55.4583701,2,2,2,1495.8319999999999,1506.8790000000001
ESO554-035             ,86.9480625,-19.8664306,2,2,2,7299.599,7312.861
PGC155202              ,156.171174,-18.7045226,2,2,2,538.925,541.559
IC2980                 ,179.3760555,-73.6845057,2,2,2,604.284,621.669
ESO362-008             ,77.7879405,-34.3933844,2,2,2,992.3779999999999,1005.0730000000001
PGC024369              ,130.009791,29.8174342,2,2,2,7954.195,7981.647999999999
PGC009390              ,37.046783999999995,-5.8387582,2,2,2,1243.002,1243.867
NGC3370                ,161.7668265,17.2736572,2,2,2,6916.758,7270.239
UGC01214               ,25.9906665,2.3498889,2,2,2,11415.264,11419.855
NGC4294                ,185.324265,11.5106195,2,2,2,3560.7200000000003,3561.3819999999996
ESO563-021             ,131.8208175,-20.0356286,2,2,2,1009.722,1023.111
NGC2272                ,100.672083,-27.4594722,2,2,2,1386.7060000000001,1399.0059999999999
PGC2095830             ,140.3705145,37.2314172,1,1,1,4765.614,4765.935
NGC3656                ,170.911245,53.8421255,1,1,1,1052.739,1065.339
PGC2832008             ,18.2618745,15.5273332,1,1,1,489.906,491.515
NGC4378                ,186.32523450000002,4.9249453,1,1,1,989.73,990.382
UGC12064               ,337.835916,39.3582778,1,1,1,1488.704,1499.466
PGC033423              ,165.975786,40.8500932,1,1,1,76.392,77.717
NGC3353                ,161.343312,55.9603651,1,1,1,1944.266,2291.209
PGC012243              ,49.430043,42.3850745,1,1,1,812.508,818.049
PGC000196              ,0.7278645,-35.7221058,1,1,1,56.047,57.659
NGC1231                ,46.622062500000006,-15.5690972,1,1,1,935.503,942.742
PGC087431              ,2.9319465,-28.9323356,1,1,1,15773.225,15885.81
PGC1043897             ,206.443833,-5.5035556,1,1,1,69.463,70.195
ESO286-019             ,314.6112705,-42.6500803,1,1,1,2059.625,2061.0
PGC084913              ,292.839294,-72.6555478,1,1,1,1712.232,1716.169
PGC073855              ,18.7851075,0.3036317,1,1,1,338.291,338.319
ESO213-002             ,147.318762,-47.9200898,1,1,1,7247.018,7366.648
PGC073879              ,18.876837,0.2227993,1,1,1,338.291,338.319
NGC4621                ,190.509333,11.6472733,1,1,1,2932.274,3189.461
NGC2341                ,107.299836,20.602884,1,1,1,98.998,100.283
NGC5248                ,204.3834195,8.885176,1,1,1,410.149,416.206
IC0664                 ,165.188973,10.5532348,1,1,1,10925.999,10930.039
SDSSJ153238.30+324242.1,233.1595215,32.7116768,1,1,1,894.858,987.404
PGC1162545             ,18.818055,0.3094985,1,1,1,338.291,338.319
NGC5614                ,216.03162,34.858852,1,1,1,1886.089,1898.793
NGC3169                ,153.561621,3.4664709,1,1,1,6868.654,6879.14
NGC2441                ,117.9782085,73.0156667,1,1,1,4632.536,4735.768
NGC0444                ,18.9567255,31.0801809,1,1,1,8406.555,8309.588
NGC7265                ,335.614458,36.2098333,1,1,1,1459.468,1471.774
ESO570-003             ,166.5667545,-18.2591875,1,1,1,4215.16,4224.767
PGC003183              ,13.516416,73.0847778,1,1,1,2375.818,2374.955
PGC044297              ,194.3516565,-30.386316,1,1,1,72.928,73.02
NGC2444                ,116.7210255,39.0319458,1,1,1,1415.733,1421.801
NGC2445                ,116.729583,39.01525,1,1,1,1415.733,1421.801
ESO477-020             ,30.150636000000002,-25.0514607,1,1,1,1236.106,1248.63
ESO477-021             ,30.2079255,-25.0267392,1,1,1,1236.106,1248.63
PGC493675              ,84.0253755,-47.926,1,1,1,845.276,847.464
PGC166755              ,337.30798500000003,75.3670049,1,1,1,1321.677,1333.963
NGC5672                ,218.159814,31.6701383,1,1,1,1006.158,1012.245
PGC393843              ,87.784479,-57.1134306,1,1,1,144.465,145.414
IC0632                 ,159.7991565,-0.4094339,1,1,1,830.304,837.432
PGC001224              ,4.712121,-10.3768517,1,1,1,2906.7,2939.33
NGC4216                ,183.976284,13.1493536,1,1,1,1500.609,1506.887
NGC3356                ,161.050917,6.7588201,1,1,1,1835.238,1834.93
NGC4758                ,193.1843325,15.8477655,1,1,1,78.102,78.007
NGC3949                ,178.423842,47.8587682,1,1,1,3649.369,3736.002
PGC054617              ,229.5255495,42.7458113,1,1,1,1674.19,1674.117
NGC4750                ,192.5300415,72.8744722,1,1,1,920.057,925.194
PGC020735              ,110.2245,55.7218333,1,1,1,51.744,53.224
2MASXJ13262223+1236325 ,201.59257050000002,12.6090246,1,1,1,4908.171,4968.48
PGC054913              ,230.77209,8.6092103,1,1,1,61.31,62.673
UGC03134               ,70.4510835,-1.3018056,0,0,0,0.0,0.0
PGC1762966             ,226.1790705,26.1099565,0,0,0,0.0,0.0
UGC12160               ,340.2271245,75.1647222,0,0,0,0.0,0.0
ESO242-014             ,8.635875,-43.6561667,0,0,0,0.0,0.0
NGC1703                ,73.21725,-59.7421944,0,0,0,0.0,0.0
NGC2139                ,90.2831775,-23.6723296,0,0,0,0.0,0.0
NGC1395                ,54.623766,-23.0274404,0,0,0,0.0,0.0
ESO101-004             ,249.5755125,-64.3601672,0,0,0,0.0,0.0
ESO018-007             ,125.784567,-77.8519566,0,0,0,0.0,0.0
ESO182-007             ,274.205868,-57.2268179,0,0,0,0.0,0.0
NGC1427                ,55.5808605,-35.3927299,0,0,0,0.0,0.0
PGC394821              ,56.37918,-57.0243874,0,0,0,0.0,0.0
NGC2541                ,123.66717,49.0616237,0,0,0,0.0,0.0
PGC3133930             ,138.1167075,53.26307,0,0,0,0.0,0.0
PGC3123947             ,180.043908,3.3684212,0,0,0,0.0,0.0
ESO186-062             ,308.508666,-52.9811806,0,0,0,0.0,0.0
NGC1511                ,59.909874,-67.6365789,0,0,0,0.0,0.0
ESO187-026             ,312.9870555,-52.629689,0,0,0,0.0,0.0
PGC3087775             ,246.760659,43.4761082,0,0,0,0.0,0.0
UGC06203               ,167.435145,21.7588854,0,0,0,0.0,0.0
PGC2601016             ,184.0824555,60.3490874,0,0,0,0.0,0.0
PGC2519056             ,117.2618835,55.9187375,0,0,0,0.0,0.0
PGC2474646             ,242.6620215,54.6077874,0,0,0,0.0,0.0
UGC04978               ,140.52588,3.8972574,0,0,0,0.0,0.0
NGC1637                ,70.3674585,-2.8579167,0,0,0,0.0,0.0
UGC01934               ,36.9643185,0.5014981,0,0,0,0.0,0.0
PGC2163545             ,168.450852,40.2857243,0,0,0,0.0,0.0
PGC2129982             ,155.5760055,38.5443116,0,0,0,0.0,0.0
ESO156-008             ,55.7523165,-53.6377667,0,0,0,0.0,0.0
NGC1439                ,56.208309,-21.9207205,0,0,0,0.0,0.0
NGC4900                ,195.163311,2.5010616,0,0,0,0.0,0.0
PGC146838              ,75.286083,-38.7262222,0,0,0,0.0,0.0
NGC0895                ,35.401959000000005,-5.5213909,0,0,0,0.0,0.0
NGC6911                ,304.90975050000003,66.7283611,0,0,0,0.0,0.0
NGC3955                ,178.488138,-23.1641298,0,0,0,0.0,0.0
NGC7013                ,315.8898795,29.8973421,0,0,0,0.0,0.0
NGC3887                ,176.769021,-16.854625,0,0,0,0.0,0.0
ESO444-072             ,203.39469,-31.6722977,0,0,0,0.0,0.0
NGC7285                ,337.1581245,-24.8405833,0,0,0,0.0,0.0
NGC0765                ,29.699916,24.8925278,0,0,0,0.0,0.0
NGC3610                ,169.605291,58.7862361,0,0,0,0.0,0.0
NGC0766                ,29.674959,8.3467222,0,0,0,0.0,0.0
NGC3507                ,165.855792,18.1353333,0,0,0,0.0,0.0
NGC7648                ,350.9751255,9.6674444,0,0,0,0.0,0.0
NGC4136                ,182.323779,29.9276571,0,0,0,0.0,0.0
NGC7689                ,353.3196915,-54.0944859,0,0,0,0.0,0.0
NGC7727                ,354.97428749999995,-12.2927807,0,0,0,0.0,0.0
NGC7743                ,356.088042,9.9340278,0,0,0,0.0,0.0
ESO385-047             ,218.689293,-32.9785751,0,0,0,0.0,0.0
PGC003853              ,16.2703125,-6.212375,0,0,0,0.0,0.0
PGC005858              ,23.604963,-15.8190795,0,0,0,0.0,0.0
PGC007900              ,31.131066,-6.1989563,0,0,0,0.0,0.0
PGC007942              ,31.271666999999997,-6.5074722,0,0,0,0.0,0.0
NGC0953                ,37.790667,29.5886944,0,0,0,0.0,0.0
PGC010253              ,40.6274235,-21.5847331,0,0,0,0.0,0.0
NGC4104                ,181.6622715,28.174268,0,0,0,0.0,0.0
NGC6799                ,293.0687955,-55.9079877,0,0,0,0.0,0.0
ESO384-002             ,207.82874999999999,-33.807899,0,0,0,0.0,0.0
NGC4596                ,189.9830865,10.1761628,0,0,0,0.0,0.0
IC3518                 ,188.630391,9.6234219,0,0,0,0.0,0.0
NGC4976                ,197.1556755,-49.5062705,0,0,0,0.0,0.0
IC4523                 ,226.293927,-43.5094507,0,0,0,0.0,0.0
NGC5087                ,200.1041145,-20.6110687,0,0,0,0.0,0.0
IC4687                 ,273.4157955,-57.7252348,0,0,0,0.0,0.0
IC1291                 ,278.469042,49.2785556,0,0,0,0.0,0.0
NGC4689                ,191.9399205,13.7626332,0,0,0,0.0,0.0
NGC5170                ,202.453191,-17.9664979,0,0,0,0.0,0.0
IC1024                 ,217.8626835,3.0081905,0,0,0,0.0,0.0
IC5337                 ,354.10425,21.1506432,0,0,0,0.0,0.0
IC0883                 ,200.1475065,34.1393251,0,0,0,0.0,0.0
NGC4157                ,182.7680235,50.4849616,0,0,0,0.0,0.0
NGC4561                ,189.0339225,19.3226707,0,0,0,0.0,0.0
NGC0057                ,3.878625,17.3283889,0,0,0,0.0,0.0
NGC4494                ,187.8501255,25.7749722,0,0,0,0.0,0.0
NGC4477                ,187.5091695,13.6364183,0,0,0,0.0,0.0
NGC4459                ,187.250178,13.9785204,0,0,0,0.0,0.0
NGC4434                ,186.902841,8.1543168,0,0,0,0.0,0.0
NGC0255                ,11.9471085,-11.4687138,0,0,0,0.0,0.0
NGC4371                ,186.230853,11.7042332,0,0,0,0.0,0.0
NGC0278                ,13.0179165,47.5505278,0,0,0,0.0,0.0
NGC5964                ,234.4009095,5.9740148,0,0,0,0.0,0.0
NGC1012                ,39.812334,30.1516667,0,0,0,0.0,0.0
NGC1055                ,40.4383785,0.4434215,0,0,0,0.0,0.0
NGC1340                ,52.081809,-31.0681613,0,0,0,0.0,0.0
ESO291-022             ,350.54835,-42.5955519,0,0,0,0.0,0.0
ESO306-017             ,85.0279695,-40.8362699,0,0,0,0.0,0.0
PGC058586              ,249.064458,66.2399722,0,0,0,0.0,0.0
PGC060511              ,263.575608,68.0191106,0,0,0,0.0,0.0
PGC062535              ,283.36809150000005,68.4752768,0,0,0,0.0,0.0
PGC065597              ,313.0015395,-52.7549867,0,0,0,0.0,0.0
PGC066146              ,316.9225515,3.872119,0,0,0,0.0,0.0
PGC068149              ,332.2782495,2.0149167,0,0,0,0.0,0.0
PGC069457              ,340.1259615,3.3585093,0,0,0,0.0,0.0
PGC071158              ,350.2656015,-69.2170107,0,0,0,0.0,0.0
NGC2997                ,146.411625,-31.1910833,0,0,0,0.0,0.0
PGC075215              ,68.3340975,-13.4394984,0,0,0,0.0,0.0
PGC056821              ,240.6977595,19.7872548,0,0,0,0.0,0.0
PGC083292              ,159.988794,-8.5840272,0,0,0,0.0,0.0
PGC083477              ,174.468834,21.7992605,0,0,0,0.0,0.0
PGC088489              ,96.3976245,-53.8498056,0,0,0,0.0,0.0
PGC094246              ,210.442938,-11.575875,0,0,0,0.0,0.0
PGC099489              ,203.4495555,-31.5559973,0,0,0,0.0,0.0
PGC112808              ,153.8562915,-5.5622778,0,0,0,0.0,0.0
PGC1259426             ,184.07286150000002,3.8400009,0,0,0,0.0,0.0
PGC128758              ,56.4450195,-57.0657827,0,0,0,0.0,0.0
PGC128847              ,316.400637,-52.3781087,0,0,0,0.0,0.0
PGC133317              ,327.88962449999997,-27.4529722,0,0,0,0.0,0.0
PGC057841              ,244.950708,5.1621928,0,0,0,0.0,0.0
PGC056249              ,238.0236315,20.1451866,0,0,0,0.0,0.0
ESO365-026             ,98.023053,-35.6236,0,0,0,0.0,0.0
PGC037309              ,178.4642415,-19.6632112,0,0,0,0.0,0.0
PGC012425              ,49.9458525,0.5845571,0,0,0,0.0,0.0
PGC013653              ,55.752162,-53.6383302,0,0,0,0.0,0.0
NGC1056                ,40.7012505,28.5740972,0,0,0,0.0,0.0
PGC015524              ,68.4075,-13.2616389,0,0,0,0.0,0.0
PGC026378              ,139.952322,-12.2462632,0,0,0,0.0,0.0
ESO351-021             ,13.7495835,-35.3213889,0,0,0,0.0,0.0
PGC030258              ,155.2237155,48.5234285,0,0,0,0.0,0.0
PGC032640              ,163.1192505,45.8892316,0,0,0,0.0,0.0
PGC034112              ,168.1706295,13.4174746,0,0,0,0.0,0.0
PGC034881              ,170.555343,24.3171434,0,0,0,0.0,0.0
PGC039311              ,184.145115,60.3647812,0,0,0,0.0,0.0
PGC055696              ,234.7613955,5.8408692,0,0,0,0.0,0.0
ESO349-009             ,359.252952,-34.6805324,0,0,0,0.0,0.0
ESO347-008             ,350.2046595,-41.7309355,0,0,0,0.0,0.0
NGC1167                ,45.426526499999994,35.2057302,0,0,0,0.0,0.0
PGC046821              ,200.990076,-31.6458445,0,0,0,0.0,0.0
ESO325-004             ,205.8883095,-38.1759864,0,0,0,0.0,0.0
PGC049116              ,207.604917,68.55475,0,0,0,0.0,0.0
PGC051362              ,215.6545095,59.9308869,0,0,0,0.0,0.0
NGC1172                ,45.400125,-14.8366111,0,0,0,0.0,0.0
PGC053422              ,224.225709,65.9344324,0,0,0,0.0,0.0
PGC054773              ,230.28492,30.5735904,0,0,0,0.0,0.0
PGC027171              ,143.476278,34.0618708,0,0,0,0.0,0.0
