MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,Distance_distance,Distance_Q,Distance_unit,Distance_merr,Distance_perr,Distance_method,Distance_bibcode,SCRIPT_NUMBER_ID,SEARCH_NAME
[FWB2009] HLX-1,01 10 28.30,-46 04 22.3,6,6,300.000,300.000,90,C,X,2010ApJ...712L.107W,,,,,,,,1,ESO_243-49_HLX-1
RX J0957.9+6903,09 57 53.290,+69 03 48.20,7,7,54.000,49.000,0,C,O,2009ApJS..182..543A,,,,,,,,2,NAME_Holmberg_IX_X-1
[SST2011] J081929.00+704219.3,08 19 28.99,+70 42 19.4,6,6,700.000,700.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,3,Holmberg_II_X-1
CXOM31 J004253.1+411422,00 42 53.15,+41 14 22.9,6,6,,,0,D,X,2012A&A...538A..49K,,,,,,,,4,M31_ULX-1
ChASeM33 J013350.89+303936.6,01 33 50.8965,+30 39 36.630,14,14,0.283,0.238,90,A,O,2020yCat.1350....0G,,,,,,,,5,[LM2005]_NGC_598_ULX1
RX J133001+47137,13 30 01.01,+47 13 43.9,6,6,700.000,700.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,6,RX_J133001+47137
[FK2005]  7,09 55 32.95,+69 00 33.6,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,7,[LM2005]_NGC_3031_ULX1
[KCF2005] M82 G,09 55 51.040,+69 40 45.49,7,7,,,0,D,,2006ApJ...646..174K,,,,,,,,8,M82_X-2
2XMM J024025.6-082428,02 40 25.62,-08 24 28.9,6,6,300.000,300.000,90,C,X,2012ApJ...756...27L,,,,,,,,9,[LM2005]_NGC_1042_ULX1
RX J031820.3-662911,03 18 20.00,-66 29 10.9,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,10,NAME_NGC_1313_X-1
2E   756,03 18 22.00,-66 36 04.3,6,6,,,0,D,,2005ApJS..157...59L,,,,,,,,11,NAME_NGC_1313_X-2
[LB2005] NGC   247 X2,00 47 04.00,-20 47 45.7,6,6,,,0,D,,2005ApJS..157...59L,,,,,,,,12,[LM2005]_NGC_247_ULX1
RX J004732.9-251748,00 47 32.97,-25 17 50.2,6,6,,,0,D,,2005ApJS..157...59L,,,,,,,,13,[LB2005]_NGC_253_X2
RX J004722.4-252051,00 47 22.59,-25 20 50.9,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,14,[LB2005]_NGC_253_X9
NAME NGC 300 2010da,00 55 04.86,-37 41 43.7,6,6,,,0,D,,2008yCat....1.2024B,,,,,,,,15,NAME_NGC_300_ULX1
[SST2011] J122601.44+333131.1,12 26 01.53,+33 31 30.6,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,16,[LM2005]_NGC_4395_ULX1
[FK2005] 23,13 29 38.62,+58 25 05.6,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,17,[LM2005]_NGC_5204_ULX1
[FK2005] 25,14 03 19.63,-41 22 58.7,6,6,1200.000,1200.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,18,[LM2005]_NGC_5408_ULX1
[BWE2015] NGC   55 119,00 15 28.89,-39 13 18.8,6,6,200.000,200.000,90,D,X,2012ApJ...756...27L,,,,,,,,19,[SRW2006b]_NGC_55_ULX
[SST2011] J141939.39+564137.8,14 19 39.39,+56 41 37.8,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,20,[SST2011]_J141939.39+564137.8
NAME NGC 5907 ULX,15 15 58.60,+56 18 10.0,6,6,,,0,D,X,2011ApJ...741...49S,,,,,,,,21,NAME_NGC_5907_ULX
IXO 85,20 35 00.11,+60 09 08.5,6,6,200.000,200.000,90,D,X,2012ApJ...756...27L,,,,,,,,22,[LB2005]_NGC_6946_ULX1
NAME NGC 6946 SNR,20 35 00.74,+60 11 30.6,6,6,,,0,D,,2004ApJS..154..519S,,,,,,,,23,[LB2005]_NGC_6946_ULX3
NAME NGC 7090 ULX3,21 36 22.62,-54 32 34.6,6,6,,,0,D,X,2012MNRAS.419.2095M,,,,,,,,24,NAME_NGC_7090_ULX3
NAME NGC 7793 P13,23 57 50.90,-32 37 26.6,6,6,,,0,D,,2011AJ....142...20P,,,,,,,,25,NAME_NGC_7793_P13
[SST2011] J022727.53+333443.0,02 27 27.53,+33 34 42.9,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,26,NAME_NGC_925_ULX-1
[SST2011] J022721.52+333500.7,02 27 21.52,+33 35 00.8,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,27,NAME_NGC_925_ULX-2
LIN 198,00 52 05.6251,-72 26 04.228,14,14,0.019,0.018,90,A,O,2020yCat.1350....0G,,,,,,,,28,SMC_X-3
SS 433,19 11 49.5647,+04 58 57.827,14,14,0.018,0.018,90,A,O,2020yCat.1350....0G,5.5000,,kpc,-0.2000,0.2000,,2004ApJ...616L.159B,29,SS433
SWIFT J0243.6+6124,02 43 40.4252,+61 26 03.757,14,14,0.007,0.009,90,A,O,2020yCat.1350....0G,5509.6420,,pc,-343.0245,343.0245,paral,2020yCat.1350....0G,30,SWIFT_J0243.6+6124
CXOU J112803.0+785953,11 28 03.000,+78 59 53.41,7,7,,,0,D,,2020ApJ...893L..28V,,,,,,,,31,NAME_UGC_6456_ULX
V* V404 Cyg,20 24 03.8254,+33 52 01.962,14,14,0.073,0.089,90,A,O,2018yCat.1345....0G,,,,,,,,32,NOVA_Cyg_1989
RX J133719-29536,13 37 20.12,-29 53 47.7,6,6,,,0,D,,2005ApJS..157...59L,,,,,,,,33,[LB2005]_NGC_5236_X11
CXOU J133705.1-295207,13 37 05.13,-29 52 07.1,6,6,0.000,0.000,90,C,X,2014ApJS..212...21L,,,,,,,,34,NAME_M83_ULX-1
RX J0333.5-3609,03 33 34.60,-36 09 35.0,6,6,,,0,D,,2005ApJS..157...59L,,,,,,,,35,NAME_NGC_1365-X1
[SK2009] X2,03 33 41.85,-36 07 31.4,6,6,,,0,D,,2009ApJ...692..443S,,,,,,,,36,[SK2009]_X2
NAME IC 10 X-1,00 20 29.09,+59 16 51.9,6,6,2000.000,2000.000,90,D,X,2004ApJ...601L..67B,,,,,,,,37,NAME_IC_10_X-1
[BWC2008] U32,13 05 32.89,-49 27 34.1,6,6,,,0,D,,2004ApJS..154..519S,,,,,,,,38,[WMR2006]_NGC4945_XMM1
RX J123551+27561,12 35 51.71,+27 56 04.1,6,6,700.000,700.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,39,[LM2005]_NGC_4559_ULX1
