MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,Distance_distance,Distance_Q,Distance_unit,Distance_merr,Distance_perr,Distance_method,Distance_bibcode,SCRIPT_NUMBER_ID
3XMM J005450.3-373849,00 54 50.20,-37 38 50.6,6,6,,,0,C,X,2016MNRAS.460.1640C,,,,,,,,285
3XMM J005450.3-373849,00 54 50.20,-37 38 50.6,6,6,,,0,C,X,2016MNRAS.460.1640C,,,,,,,,286
3XMM J005450.3-373849,00 54 50.20,-37 38 50.6,6,6,,,0,C,X,2016MNRAS.460.1640C,,,,,,,,287
3XMM J005450.3-373849,00 54 50.20,-37 38 50.6,6,6,,,0,C,X,2016MNRAS.460.1640C,,,,,,,,288
3XMM J005450.3-373849,00 54 50.20,-37 38 50.6,6,6,,,0,C,X,2016MNRAS.460.1640C,,,,,,,,289
2XMM J013636.4+155036,01 36 36.50,+15 50 36.3,6,6,800.000,800.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,478
CXOU J013651.1+154547,01 36 51.06,+15 45 46.8,6,6,700.000,700.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,488
CXOU J013651.1+154547,01 36 51.06,+15 45 46.8,6,6,700.000,700.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,489
3XMM J022233.4+422026,02 22 33.45,+42 20 26.8,6,6,,,0,C,X,2012ApJ...747L..39H,,,,,,,,506
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,611
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,612
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,613
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,614
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,615
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,616
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,617
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,618
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,619
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,620
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,621
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,622
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,623
3XMM J031818.4-663002,03 18 18.4080,-66 30 02.700,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,624
2XMM J031820.8-663035,03 18 20.8,-66 30 35,5,5,,,0,D,,2014ApJ...780...39L,,,,,,,,650
2XMM J031820.8-663035,03 18 20.8,-66 30 35,5,5,,,0,D,,2014ApJ...780...39L,,,,,,,,651
3XMM J032004.9-664211,03 20 04.9560,-66 42 11.916,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,662
3XMM J032004.9-664211,03 20 04.9560,-66 42 11.916,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,663
3XMM J032004.9-664211,03 20 04.9560,-66 42 11.916,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,664
3XMM J033337.9-360935,03 33 38.02,-36 09 35.2,6,6,,,0,D,,2009ApJ...692..443S,,,,,,,,743
2XMM J034615.6+681112,03 46 15.61,+68 11 12.8,6,6,400.000,400.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,819
2XMM J034615.6+681112,03 46 15.61,+68 11 12.8,6,6,400.000,400.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,820
2XMM J034615.6+681112,03 46 15.61,+68 11 12.8,6,6,400.000,400.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,821
2XMM J034615.6+681112,03 46 15.61,+68 11 12.8,6,6,400.000,400.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,822
CXOU J072719.7+854632,07 27 19.70,+85 46 32.9,6,6,,,0,D,,2015MNRAS.448..781W,,,,,,,,964
3XMM J072722.2+854513,07 27 22.2528,+85 45 13.068,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,965
UCAC4 779-021043,07 36 34.1461,+65 38 54.771,14,14,0.020,0.027,90,A,O,2020yCat.1350....0G,412.0820,,pc,-6.4698,6.4698,paral,2020yCat.1350....0G,993
UCAC4 779-021043,07 36 34.1461,+65 38 54.771,14,14,0.020,0.027,90,A,O,2020yCat.1350....0G,412.0820,,pc,-6.4698,6.4698,paral,2020yCat.1350....0G,994
UCAC4 779-021043,07 36 34.1461,+65 38 54.771,14,14,0.020,0.027,90,A,O,2020yCat.1350....0G,412.0820,,pc,-6.4698,6.4698,paral,2020yCat.1350....0G,995
2XMM J073650.1+653604,07 36 50.0,+65 36 03,5,5,,,0,D,,2007ApJ...664..277Y,,,,,,,,1001
3XMM J102957.2-351420,10 29 57.2040,-35 14 20.760,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1201
3XMM J115733.7+552711,11 57 33.70,+55 27 11.1,6,6,,,0,D,X,2017MNRAS.469..671L,,,,,,,,1242
SDSS J121022.39+392316.8,12 10 22.4024,+39 23 16.816,14,14,5.399,5.120,90,C,O,2020yCat.1350....0G,,,,,,,,1251
RX J121845.6+472420,12 18 45.51,+47 24 20.2,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,1297
RX J121845.6+472420,12 18 45.51,+47 24 20.2,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,1298
RX J121845.6+472420,12 18 45.51,+47 24 20.2,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,1299
RX J121845.6+472420,12 18 45.51,+47 24 20.2,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,1300
RX J121845.6+472420,12 18 45.51,+47 24 20.2,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,1301
RX J121845.6+472420,12 18 45.51,+47 24 20.2,6,6,1000.000,1000.000,0,D,X,2014MNRAS.442.1054H,,,,,,,,1302
3XMM J121847.6+472054,12 18 47.66,+47 20 54.7,6,6,800.000,800.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,1314
SDSS J121848.47+472532.4,12 18 48.4744,+47 25 32.459,14,14,0.222,0.282,90,A,O,2020yCat.1350....0G,,,,,,,,1315
SDSS J121848.47+472532.4,12 18 48.4744,+47 25 32.459,14,14,0.222,0.282,90,A,O,2020yCat.1350....0G,,,,,,,,1316
SDSS J121848.47+472532.4,12 18 48.4744,+47 25 32.459,14,14,0.222,0.282,90,A,O,2020yCat.1350....0G,,,,,,,,1317
SDSS J121848.47+472532.4,12 18 48.4744,+47 25 32.459,14,14,0.222,0.282,90,A,O,2020yCat.1350....0G,,,,,,,,1318
SDSS J121848.47+472532.4,12 18 48.4744,+47 25 32.459,14,14,0.222,0.282,90,A,O,2020yCat.1350....0G,,,,,,,,1319
3XMM J121920.8+055104,12 19 20.8848,+05 51 05.004,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1366
SDSS J121925.80+471631.1,12 19 25.808,+47 16 31.14,7,7,73.000,76.000,90,C,O,2015ApJS..219...12A,,,,,,,,1368
SDSS J121925.80+471631.1,12 19 25.808,+47 16 31.14,7,7,73.000,76.000,90,C,O,2015ApJS..219...12A,,,,,,,,1369
3XMM J122204.3+281110,12 22 04.3008,+28 11 10.392,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1383
3XMM J122204.3+281110,12 22 04.3008,+28 11 10.392,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1384
3XMM J122204.3+281110,12 22 04.3008,+28 11 10.392,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1385
3XMM J122903.4+135816,12 29 03.4008,+13 58 16.284,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1484
3XMM J122903.4+135816,12 29 03.4008,+13 58 16.284,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1485
3XMM J123242.7+000654,12 32 42.70,+00 06 54.9,6,6,,,0,D,X,2017MNRAS.469..671L,,,,,,,,1506
RX J123558+27577,12 35 58.56,+27 57 41.9,6,6,,,0,D,,2006ApJS..166..154P,,,,,,,,1523
3XMM J124820.6+082919,12 48 20.80,+08 29 18.4,6,6,,,0,E,X,2012MNRAS.426.3225B,,,,,,,,1582
CXOM51 J132953.3+471042,13 29 53.18,+47 10 42.4,6,6,90.000,90.000,90,C,I,2003yCat.2246....0C,,,,,,,,1757
CXOM51 J132953.3+471042,13 29 53.18,+47 10 42.4,6,6,90.000,90.000,90,C,I,2003yCat.2246....0C,,,,,,,,1758
RX J133001+47137,13 30 01.01,+47 13 43.9,6,6,700.000,700.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,1768
RX J133001+47137,13 30 01.01,+47 13 43.9,6,6,700.000,700.000,0,C,X,2014MNRAS.442.1054H,,,,,,,,1769
3XMM J140338.4-335753,14 03 38.4528,-33 57 53.748,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1860
3XMM J143235.6-441003,14 32 35.6256,-44 10 03.432,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1864
NAME NGC 5907 ULX,15 15 58.60,+56 18 10.0,6,6,,,0,D,X,2011ApJ...741...49S,,,,,,,,1896
NAME NGC 5907 ULX,15 15 58.60,+56 18 10.0,6,6,,,0,D,X,2011ApJ...741...49S,,,,,,,,1897
3XMM J181943.4+743336,18 19 43.4304,+74 33 36.288,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1916
3XMM J181943.4+743336,18 19 43.4304,+74 33 36.288,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1917
3XMM J181943.4+743336,18 19 43.4304,+74 33 36.288,8,8,,,0,D,X,2013yCat.9044....0X,,,,,,,,1918
IXO 85,20 35 00.11,+60 09 08.5,6,6,200.000,200.000,90,D,X,2012ApJ...756...27L,,,,,,,,2002
IXO 85,20 35 00.11,+60 09 08.5,6,6,200.000,200.000,90,D,X,2012ApJ...756...27L,,,,,,,,2003
IXO 85,20 35 00.11,+60 09 08.5,6,6,200.000,200.000,90,D,X,2012ApJ...756...27L,,,,,,,,2004
IXO 85,20 35 00.11,+60 09 08.5,6,6,200.000,200.000,90,D,X,2012ApJ...756...27L,,,,,,,,2005
IXO 85,20 35 00.11,+60 09 08.5,6,6,200.000,200.000,90,D,X,2012ApJ...756...27L,,,,,,,,2006
IXO 85,20 35 00.11,+60 09 08.5,6,6,200.000,200.000,90,D,X,2012ApJ...756...27L,,,,,,,,2007
IXO 85,20 35 00.11,+60 09 08.5,6,6,200.000,200.000,90,D,X,2012ApJ...756...27L,,,,,,,,2008
IXO 85,20 35 00.11,+60 09 08.5,6,6,200.000,200.000,90,D,X,2012ApJ...756...27L,,,,,,,,2009
3XMM J213631.9-543357,21 36 31.94,-54 33 57.2,6,6,400.000,400.000,90,D,X,2012ApJ...756...27L,,,,,,,,2067
2XMM J230457.6+122028,23 04 57.7,+12 20 29,5,5,,,0,C,X,2012MNRAS.423.1154S,,,,,,,,2103
2XMM J230457.6+122028,23 04 57.7,+12 20 29,5,5,,,0,C,X,2012MNRAS.423.1154S,,,,,,,,2104
