,simbad_name,readable_name,filter,N,SRCEXP_TOT,t_diff_mean,t_diff_std,t_diff_n_sigma,MAG_MEAN,COI_SRC_RATE_MEAN
0,Holmberg_II_X-1,Holmberg II X-1,B,3,1113.0165,3439381.4094199985,176280.51520000398,19.51084273561234,17.691652,3.65841
1,Holmberg_II_X-1,Holmberg II X-1,U,98,128951.07,738408.4696302058,58016286.05578783,0.012727606674445864,16.512234,4.620734
2,Holmberg_II_X-1,Holmberg II X-1,UVM2,31,28976.518,-2119273.3659920017,99979717.29154345,-0.021197032992323287,15.887988,2.0141425
3,Holmberg_II_X-1,Holmberg II X-1,UVW1,52,56294.844,-1138372.7386121564,63055823.97028785,-0.018053411515938037,16.102509,3.0412874
4,Holmberg_II_X-1,Holmberg II X-1,UVW2,46,49854.383,-1350698.6119295545,83133385.42374825,-0.01624736686765204,15.79931,3.7369344
5,Holmberg_II_X-1,Holmberg II X-1,V,3,1356.9512,3439829.271510005,175908.71951001883,19.554626291928017,17.859121,1.0122714
6,M31_ULX-1,M31 ULX-1,B,3,751.09985,119747460.289585,119727211.39642501,1.0001691252383131,44.66614,2.7639267
7,M31_ULX-1,M31 ULX-1,U,36,91967.13,8982418.793720858,74420766.6374322,0.12069774606706182,28.76928,1.8588244
8,M31_ULX-1,M31 ULX-1,UVM2,84,153208.78,-610042.918226144,101708747.50367516,-0.0059979395400980694,32.478535,0.034186535
9,M31_ULX-1,M31 ULX-1,UVW1,373,951075.44,-127077.45124537619,33887380.26493267,-0.003749993367792979,19.19621,0.31910762
10,M31_ULX-1,M31 ULX-1,UVW2,76,168022.77,-2441607.1569893337,83653660.36138731,-0.02918709290713029,22.705683,0.104799725
11,M31_ULX-1,M31 ULX-1,V,3,751.14325,119747480.91286999,119727484.38119999,1.0001670170535475,43.80029,2.8650846
12,M82_X-2,M82 X-2,B,41,1801.2981,-7487453.35700725,45854677.8836244,-0.16328657625749382,15.365837,28.888168
13,M82_X-2,M82 X-2,U,81,129610.62,1399351.2150608748,30421091.49042093,0.045999375647041006,15.544909,11.669234
14,M82_X-2,M82 X-2,UVM2,108,203003.02,3506226.5367814954,39391205.090185285,0.08901039023188217,17.806343,0.3508388
15,M82_X-2,M82 X-2,UVW1,100,170293.66,261510.09155787845,37631932.67968691,0.006949153895012074,16.479103,2.0154645
16,M82_X-2,M82 X-2,UVW2,98,138955.14,2558514.836428763,29467779.898805372,0.08682414641397825,17.391079,0.7771136
17,M82_X-2,M82 X-2,V,41,1951.5417,-7487434.028711252,45854790.63026492,-0.16328575326150155,14.137541,27.745564
18,NAME_Holmberg_IX_X-1,Holmberg IX X-1,B,24,5947.8477,1342053.2853830417,75303388.44488797,0.017821950819188512,28.801523,2.4502897
19,NAME_Holmberg_IX_X-1,Holmberg IX X-1,U,43,50498.74,7027093.4721390465,102795716.38615823,0.06835978890152729,20.752182,0.56323546
20,NAME_Holmberg_IX_X-1,Holmberg IX X-1,UVM2,53,68601.73,-3011856.9317682693,116541714.4969695,-0.02584359552944957,19.650127,0.07661413
21,NAME_Holmberg_IX_X-1,Holmberg IX X-1,UVW1,132,129564.63,2263324.6236817553,47005449.451014765,0.04815026023823912,19.787937,0.2060449
22,NAME_Holmberg_IX_X-1,Holmberg IX X-1,UVW2,174,204856.0,1740231.3591379768,35753467.336538635,0.048673079529814686,20.10853,0.17492002
23,NAME_IC_10_X-1,IC10 X-1,U,119,185702.2,3388205.1520177126,37419957.000145346,0.09054540474230241,19.294048,0.35674298
24,NAME_IC_10_X-1,IC10 X-1,UVM2,5,25255.615,62903986.934737496,108386374.61451343,0.5803680320378053,22.131289,0.00722002
25,NAME_IC_10_X-1,IC10 X-1,UVW1,3,19651.12,337233.04868000746,1592.378989994526,211.77938844895633,20.003788,0.09373888
26,NAME_IC_10_X-1,IC10 X-1,UVW2,3,28760.797,342523.06772500277,4696.786565005779,72.92710941498387,21.614265,0.02021957
27,NAME_M101-ULX1,M101 ULX-1,B,57,8143.997,2741471.7061426784,18550121.856829412,0.14778726130757885,18.058685,2.4915376
28,NAME_M101-ULX1,M101 ULX-1,U,1,5134.603,,,,17.689915,1.779393
29,NAME_M101-ULX1,M101 ULX-1,UVM2,23,19461.99,-10259262.847564546,83053088.55824932,-0.12352656626814315,42.667633,0.23053138
30,NAME_M101-ULX1,M101 ULX-1,UVW1,5,9720.034,36449515.43600725,212657783.70027575,0.1713998650873741,34.021755,0.5509126
31,NAME_M101-ULX1,M101 ULX-1,UVW2,8,15987.086,20541782.809172858,47785797.148896106,0.4298721384759277,17.992268,0.59391296
32,NAME_M101-ULX1,M101 ULX-1,V,55,8528.866,2843027.2334383335,18882584.151817486,0.1505634615781488,17.565819,1.2277563
33,NAME_M83_ULX-1,M83 ULX-1,B,6,556.141,59083081.46506419,105367596.56690466,0.5607329329899685,16.551128,9.873969
34,NAME_M83_ULX-1,M83 ULX-1,U,31,59156.566,-7741045.356177336,54640825.33264144,-0.14167145735906328,16.75649,3.8549182
35,NAME_M83_ULX-1,M83 ULX-1,UVM2,20,31556.322,-12314953.538629472,76139911.18870091,-0.16174110721128604,18.253704,0.22980194
36,NAME_M83_ULX-1,M83 ULX-1,UVW1,10,16405.465,7143028.740067787,13420476.094381204,0.5322485349873975,17.405659,0.82721776
37,NAME_M83_ULX-1,M83 ULX-1,UVW2,8,15720.733,-32979336.923974283,101784016.57521112,-0.32401292495275924,18.096378,0.41434675
38,NAME_M83_ULX-1,M83 ULX-1,V,6,776.94336,59085169.366218194,105371813.83690624,0.5607303055224029,15.667119,6.952148
39,NAME_NGC_1313_X-1,NGC1313 X-1,B,5,1762.2272,49873452.71302751,62233386.0106924,0.8013938483832245,16.739809,8.50609
40,NAME_NGC_1313_X-1,NGC1313 X-1,U,280,300024.97,679009.8277170609,10969829.211445643,0.061897939760866945,17.028105,5.0541935
41,NAME_NGC_1313_X-1,NGC1313 X-1,UVM2,92,111240.99,2107886.5613578022,14020818.383873504,0.15033976645630442,16.631418,1.057943
42,NAME_NGC_1313_X-1,NGC1313 X-1,UVW1,49,57926.645,3966550.686979583,24323898.280260608,0.16307216225281326,16.561863,1.965769
43,NAME_NGC_1313_X-1,NGC1313 X-1,UVW2,58,72758.48,3358926.185742281,54632981.59463239,0.06148165609310788,16.628294,1.6772554
44,NAME_NGC_1313_X-2,NGC1313 X-2,B,5,1762.2272,49873452.71302751,62233386.0106924,0.8013938483832245,20.078136,0.4025456
45,NAME_NGC_1313_X-2,NGC1313 X-2,U,280,300024.97,679009.8277170609,10969829.211445643,0.061897939760866945,23.351898,0.37964618
46,NAME_NGC_1313_X-2,NGC1313 X-2,UVM2,93,111340.484,2084974.7509082607,14159186.594107041,0.1472524383410565,18.98928,0.12274608
47,NAME_NGC_1313_X-2,NGC1313 X-2,UVW1,49,57926.645,3966550.686979583,24323898.280260608,0.16307216225281326,18.990808,0.21185829
48,NAME_NGC_1313_X-2,NGC1313 X-2,UVW2,58,72758.48,3358926.185742281,54632981.59463239,0.06148165609310788,18.888325,0.21126248
49,NAME_NGC_1365-X1,NGC1365 X-1,B,62,5061.575,1304858.0820008195,37342153.830575004,0.03494329994785753,17.916382,2.8090737
50,NAME_NGC_1365-X1,NGC1365 X-1,U,9,16467.523,33311374.427226245,204653460.46831733,0.16276966121656772,18.175024,1.0554831
51,NAME_NGC_1365-X1,NGC1365 X-1,UVM2,51,64318.84,979734.5864420008,86161259.0804829,0.011370940918201237,18.889044,0.12943286
52,NAME_NGC_1365-X1,NGC1365 X-1,UVW1,4,5475.387,88939182.86694667,205811460.86508408,0.43213911651523196,18.756672,0.27509075
53,NAME_NGC_1365-X1,NGC1365 X-1,UVW2,12,17737.537,-8772901.015078181,126093497.99608408,-0.06957457088985373,18.798658,0.23861592
54,NAME_NGC_1365-X1,NGC1365 X-1,V,64,5792.0,1263431.057068888,36745368.06276472,0.034383410037173205,17.33128,1.509764
55,NAME_NGC_1365-X1,NGC1365 X-1,WHITE,1,1428.3634,,,,17.094706,16.919178
56,NAME_NGC_300_ULX1,NGC300 ULX-1,B,48,23987.623,-1108973.3024197894,73028062.63031991,-0.015185577468124755,17.231537,5.7494698
57,NAME_NGC_300_ULX1,NGC300 ULX-1,U,18,62382.074,22847621.180984706,81751463.4106028,0.27947660173654426,17.305588,2.3257787
58,NAME_NGC_300_ULX1,NGC300 ULX-1,UVM2,21,64726.645,1952344.6971684992,22863731.43927203,0.08539046665913168,18.017893,0.2723805
59,NAME_NGC_300_ULX1,NGC300 ULX-1,UVW1,28,106264.79,16421808.006663332,65395137.36098472,0.2511166528485758,17.719765,0.6337377
60,NAME_NGC_300_ULX1,NGC300 ULX-1,UVW2,32,102429.61,1257683.4560919385,91606564.12181795,0.013729184891373914,18.031181,0.41526675
61,NAME_NGC_300_ULX1,NGC300 ULX-1,V,49,26317.533,-1085866.81017479,71989886.96639892,-0.015083602099300632,16.72988,2.8428435
62,NAME_NGC_5907_ULX,NGC5907 ULX,U,147,242833.53,735968.8654126712,32151120.445255134,0.02289092433546233,17.814592,1.4092895
63,NAME_NGC_5907_ULX,NGC5907 ULX,UVM2,161,265164.56,671491.7698605001,23115234.581584785,0.02904974931102181,19.25685,0.08819908
64,NAME_NGC_5907_ULX,NGC5907 ULX,UVW1,98,167641.66,1108271.573570206,30337353.15600485,0.03653158427734621,19.426813,0.2750847
65,NAME_NGC_5907_ULX,NGC5907 ULX,UVW2,104,178221.17,1019717.325887378,28536728.15872431,0.035733505264359734,19.111559,0.15616359
66,NAME_NGC_7090_ULX3,NGC7090 ULX-3,B,2,518.15454,3182528.875939995,0.0,inf,17.255484,5.4283323
67,NAME_NGC_7090_ULX3,NGC7090 ULX-3,U,10,32184.035,28612364.4375,70347898.43879312,0.406726641058005,17.229656,2.4943728
68,NAME_NGC_7090_ULX3,NGC7090 ULX-3,UVM2,10,31996.87,28608161.150757775,94035831.30001788,0.30422617373886435,18.022745,0.2919882
69,NAME_NGC_7090_ULX3,NGC7090 ULX-3,UVW1,8,13938.343,35446919.31260144,55964398.62720223,0.6333833683932771,17.636185,0.7096298
70,NAME_NGC_7090_ULX3,NGC7090 ULX-3,UVW2,4,10194.277,81094400.10700667,104402098.79023126,0.7767506692556505,17.954945,0.47601372
71,NAME_NGC_7090_ULX3,NGC7090 ULX-3,V,2,268.5409,3188452.4231100082,0.0,inf,16.632359,3.0929275
72,NAME_NGC_7793_P13,NGC7793 P13,B,2,206.24326,16460722.465140045,0.0,inf,18.182507,2.0855818
73,NAME_NGC_7793_P13,NGC7793 P13,U,258,362038.72,1155530.5068889493,27590553.430160187,0.04188138196698146,17.899477,1.3074182
74,NAME_NGC_7793_P13,NGC7793 P13,UVM2,25,41834.72,6999746.935200416,58794700.3171793,0.11905404564423216,18.12345,0.26497865
75,NAME_NGC_7793_P13,NGC7793 P13,UVW1,14,26173.443,12865504.71937077,102639559.9843881,0.1253464523944536,18.034065,0.48714897
76,NAME_NGC_7793_P13,NGC7793 P13,UVW2,12,31417.545,8792483.897840906,88190776.40559489,0.09969845210800417,18.118189,0.41047883
77,NAME_NGC_925_ULX-1,NGC925 ULX-1,U,16,28460.934,-785703.7684599956,35561754.1210933,-0.022094066726420527,17.961567,1.2033284
78,NAME_NGC_925_ULX-1,NGC925 ULX-1,UVM2,29,40919.95,-701720.260378216,70297906.76412684,-0.00998209324685476,17.866499,0.32990083
79,NAME_NGC_925_ULX-1,NGC925 ULX-1,UVW1,27,51152.055,-437260.4849838477,53963183.70070859,-0.00810294083849812,17.892408,0.5202777
80,NAME_NGC_925_ULX-1,NGC925 ULX-1,UVW2,26,49411.742,-374054.53022119997,82474311.87734613,-0.004535406500602092,17.800514,0.5080289
81,NAME_NGC_925_ULX-2,NGC925 ULX-2,U,16,28460.934,-785703.7684599956,35561754.1210933,-0.022094066726420527,17.308142,2.1976757
82,NAME_NGC_925_ULX-2,NGC925 ULX-2,UVM2,29,40919.95,-701720.260378216,70297906.76412684,-0.00998209324685476,17.743166,0.3680812
83,NAME_NGC_925_ULX-2,NGC925 ULX-2,UVW1,27,51152.055,-437260.4849838477,53963183.70070859,-0.00810294083849812,17.548317,0.7122809
84,NAME_NGC_925_ULX-2,NGC925 ULX-2,UVW2,26,49411.742,-374054.53022119997,82474311.87734613,-0.004535406500602092,17.668144,0.5724583
85,NAME_UGC_6456_ULX,UGC6456 ULX,B,5,4160.7637,13249680.997555003,22498715.999242213,0.5889083180569624,18.355495,1.7521122
86,NAME_UGC_6456_ULX,UGC6456 ULX,U,6,9061.953,17075379.768522013,30711512.70955482,0.5559927942985889,17.447798,1.9440776
87,NAME_UGC_6456_ULX,UGC6456 ULX,UVM2,13,13657.01,24465733.576384168,40979565.6457301,0.597022764660108,16.905342,0.79554975
88,NAME_UGC_6456_ULX,UGC6456 ULX,UVW1,6,8038.317,18933277.105063997,22277773.679182876,0.8498729441154126,17.113466,1.0711061
89,NAME_UGC_6456_ULX,UGC6456 ULX,UVW2,4,6481.5845,1731519.5265900295,29059.740741586254,59.584823622053854,16.773405,1.2809544
90,NAME_UGC_6456_ULX,UGC6456 ULX,V,2,290.45407,0.0,0.0,,17.858541,0.8668688
91,NOVA_Cyg_1989,V404Cyg,B,22,3534.8777,10036078.975846143,41324759.87399214,0.24285873666170726,17.306826,32.36121
92,NOVA_Cyg_1989,V404Cyg,U,79,109592.74,-626690.8180966538,26315631.926521115,-0.023814393659498997,23.169415,11.031324
93,NOVA_Cyg_1989,V404Cyg,UVM2,16,14814.97,1302.1532226681709,58474084.034589365,2.226889474485661e-05,49.943626,0.05695733
94,NOVA_Cyg_1989,V404Cyg,UVW1,63,210893.92,652086.6792420966,32868645.262024265,0.019839171162783022,31.917416,0.035012733
95,NOVA_Cyg_1989,V404Cyg,UVW2,7,9602.163,-2473907.705906669,97858268.22916377,-0.025280517943698844,33.05778,0.008613997
96,NOVA_Cyg_1989,V404Cyg,V,24,4090.1907,9163359.802738218,39588303.300573595,0.23146634330765697,15.928908,31.132498
97,NOVA_Cyg_1989,V404Cyg,WHITE,3,3346.721,8192736.4697699845,8103034.728329986,1.0110701415515821,17.549208,11.443835
98,RX_J133001+47137,M51 ULX-7,B,66,9319.419,-903367.2827501545,82286205.89996368,-0.010978356249021723,16.213045,13.634922
99,RX_J133001+47137,M51 ULX-7,U,56,97117.84,-6321007.937150182,66585121.91202439,-0.09493123622273779,15.530762,11.474786
100,RX_J133001+47137,M51 ULX-7,UVM2,58,73506.52,-3650302.6991177215,94731477.56744242,-0.0385331549011146,15.288774,3.439155
101,RX_J133001+47137,M51 ULX-7,UVW1,33,65424.543,-5929787.662389064,74290302.06607835,-0.07981913516941616,15.331519,5.6484327
102,RX_J133001+47137,M51 ULX-7,UVW2,47,61527.176,-6993951.146869347,94724242.02816202,-0.0738348599800884,15.339312,5.0697103
103,RX_J133001+47137,M51 ULX-7,V,1,44.91245,,,,15.835459,6.5756803
104,SMC_X-3,SMC X-3,B,3,1052.2716,176238.8498700261,130401.00178998709,1.351514539388751,71.181984,7.7491183
105,SMC_X-3,SMC X-3,U,12,18799.215,-26512381.842013635,68163418.86242867,-0.3889532286448608,42.034813,48.590668
106,SMC_X-3,SMC X-3,UVM2,11,21487.084,-22848307.647676,64219076.05226069,-0.3557869258206445,20.782173,27.59601
107,SMC_X-3,SMC X-3,UVW1,6,9857.37,-11671889.27823999,28008749.29863852,-0.41672297301784017,27.636053,31.101393
108,SMC_X-3,SMC X-3,UVW2,2,3691.0842,360750.9783799648,0.0,inf,12.951826,44.31343
109,SMC_X-3,SMC X-3,V,4,1174.7817,118429.19329667091,167484.17134105685,0.7071067811865475,56.91697,6.9587646
110,SS433,SS433,B,7,2079.0303,47276202.47323183,88488311.82715829,0.5342649384652641,16.211805,14.3622265
